TEAM,Conference,ReboundStrength,DefensiveTier,Private,GP,PTS,FGM,FGA,FG_PCT,THREE_PM,THREE_PA,THREE_PCT,FTM,FTA,FT_PCT,OR,DR,REB,AST,STL,BLK,TO,PF
Illinois Fighting Illini,Big Ten,Strong,Moderate,No,38,83.4,29.1,62.0,46.9,8.3,23.9,34.9,16.9,23.0,73.6,12.8,28.1,40.9,13.3,4.4,3.8,10.6,15.2
Iowa Hawkeyes,Big Ten,Strong,Moderate,No,34,83.1,30.1,63.4,47.6,6.6,18.9,35.1,16.2,20.9,77.4,9.8,25.8,35.6,17.8,6.8,3.9,9.6,17.0
Purdue Boilermakers,Big Ten,Strong,Moderate,No,39,82.3,28.4,58.3,48.8,8.2,20.2,40.4,17.3,24.1,72.0,12.2,28.2,40.4,18.5,5.4,3.6,11.3,13.7
Nebraska Cornhuskers,Big Ten,Strong,Weak,No,34,77.7,26.8,59.3,45.2,9.4,26.3,35.7,14.7,19.4,76.0,9.5,28.0,37.5,15.3,6.3,2.6,11.1,15.9
Ohio State Buckeyes,Big Ten,Average,Strong,No,36,75.5,26.6,59.1,45.0,7.1,20.4,34.5,15.3,19.9,76.7,10.9,26.1,37.1,14.1,5.6,4.6,10.6,17.0
Penn State Nittany Lions,Big Ten,Weak,Moderate,No,33,75.1,25.9,59.1,43.8,7.7,23.2,33.4,15.6,20.9,74.7,9.6,22.7,32.3,12.6,8.3,3.4,11.1,18.3
Minnesota Golden Gophers,Big Ten,Strong,Strong,No,34,75.0,26.8,56.8,47.2,7.9,22.2,35.5,13.6,19.7,69.0,10.1,24.8,34.9,17.3,6.3,4.4,12.0,16.1
Wisconsin Badgers,Big Ten,Average,Weak,No,36,74.7,26.4,57.4,46.1,7.1,20.4,34.9,14.7,19.4,75.5,10.1,23.9,34.0,12.7,6.2,1.6,9.9,16.5
Northwestern Wildcats,Big Ten,Average,Moderate,Yes,34,73.3,26.2,57.6,45.5,8.2,21.0,39.0,12.7,16.9,75.2,8.5,22.9,31.4,15.6,7.0,3.1,8.8,17.6
Michigan Wolverines,Big Ten,Weak,Moderate,No,32,72.9,25.9,58.4,44.4,8.0,22.2,35.9,13.2,18.7,70.3,10.6,24.8,35.4,12.5,4.2,3.6,12.9,17.2
Michigan State Spartans,Big Ten,Average,Strong,No,35,72.9,27.1,58.8,46.1,6.5,17.9,36.3,12.2,17.2,70.8,10.1,24.6,34.7,15.9,7.1,3.8,10.0,16.6
Indiana Hoosiers,Big Ten,Average,Strong,No,33,72.3,26.6,56.0,47.6,5.0,15.5,32.4,14.0,21.1,66.4,8.7,26.1,34.8,15.3,5.2,4.0,12.1,17.0
Maryland Terrapins,Big Ten,Weak,Strong,No,33,69.0,23.2,56.2,41.3,6.1,21.1,28.9,16.5,22.9,72.0,11.5,24.2,35.7,10.9,6.6,4.5,11.7,17.5
Rutgers Scarlet Knights,Big Ten,Weak,Strong,No,32,65.4,23.4,60.2,38.9,5.5,19.1,28.7,13.0,19.8,65.8,12.3,24.9,37.1,11.8,7.7,5.2,11.4,16.9
Arizona Wildcats,Pac-12,Strong,Strong,No,36,87.1,31.2,64.5,48.4,7.9,21.6,36.6,16.8,23.4,71.7,13.1,29.5,42.6,18.5,8.3,3.7,11.9,16.4
Washington Huskies,Pac-12,Average,Moderate,No,32,80.6,29.1,61.9,47.0,8.1,22.8,35.4,14.3,19.9,72.2,9.4,26.6,36.0,15.1,5.8,3.7,11.7,18.3
Colorado Buffaloes,Pac-12,Strong,Weak,No,37,79.3,28.4,57.3,49.5,6.9,17.5,39.1,15.8,20.1,78.4,9.9,27.0,36.9,16.2,6.0,2.2,12.6,14.9
Utah Utes,Pac-12,Strong,Strong,No,37,78.8,29.2,62.4,46.9,9.3,25.2,37.0,11.0,16.9,65.0,10.0,28.9,38.9,17.7,5.9,4.2,11.5,15.9
Stanford Cardinal,Pac-12,Average,Moderate,Yes,32,76.3,27.6,58.9,46.8,8.9,24.2,37.0,12.3,16.9,72.8,7.8,26.5,34.3,16.1,5.5,3.1,12.8,15.3
Oregon Ducks,Pac-12,Average,Moderate,No,36,75.6,27.3,59.6,45.8,7.3,21.6,33.8,13.7,19.1,71.9,9.9,24.5,34.4,13.8,7.2,3.6,10.2,16.4
USC Trojans,Pac-12,Average,Strong,Yes,33,74.1,26.4,58.5,45.1,7.6,21.5,35.5,13.6,19.7,69.3,10.0,24.0,34.0,15.6,7.5,5.2,12.7,17.1
California Golden Bears,Pac-12,Average,Weak,No,32,74.0,26.0,61.9,42.1,8.8,26.0,33.8,13.1,18.1,72.7,10.7,26.4,37.2,12.1,6.0,2.6,11.6,17.3
Washington State Cougars,Pac-12,Average,Strong,No,35,73.5,27.1,58.5,46.3,6.4,18.8,33.9,13.0,18.5,70.4,11.2,26.5,37.7,12.4,5.2,4.9,10.9,16.6
Arizona State Sun Devils,Pac-12,Weak,Strong,No,32,69.0,24.7,59.4,41.6,6.7,22.4,30.0,12.9,19.7,65.5,8.4,24.8,33.3,12.0,8.2,3.7,10.5,16.7
Oregon State Beavers,Pac-12,Weak,Moderate,No,32,68.9,24.1,54.5,44.2,6.1,18.7,32.8,14.5,19.7,73.7,8.6,23.9,32.5,11.1,6.0,3.7,12.3,18.6
UCLA Bruins,Pac-12,Weak,Moderate,No,33,66.0,23.1,55.2,41.9,5.5,16.7,33.2,14.2,19.5,73.0,10.3,23.5,33.8,11.2,5.8,3.3,10.8,18.5
